FSA,POSTAL_CODE,PLACE_NAME,PROV,AREA_TYPE,LATITUDE,LONGITUDE
B0A,B0A1A0,Birch Grove,NS,Rural,46.113095,-59.96457
B0A,B0A1B0,Cfs Sydney,NS,Rural,46.16403,-60.156973
B0A,B0A1C0,Christmas Island,NS,Rural,45.850576,-60.446479
B0A,B0A1E0,Dominion,NS,Rural,46.213897,-60.007375
B0A,B0A1G0,Donkin,NS,Rural,46.221942,-60.101122
B0A,B0A1H0,East Bay,NS,Rural,45.850577,-60.446479
B0A,B0A1J0,Eskasoni,NS,Rural,45.929189,-60.660802
B0A,B0A1K0,Gabarus,NS,Rural,45.814456,-60.182678
B0A,B0A1L0,Iona,NS,Rural,45.965833,-60.89293
B0A,B0A1M0,Louisbourg,NS,Rural,45.921074,-59.96616
B0A,B0A1N0,Main-A-Dieu,NS,Rural,45.961774,-59.946542
B0A,B0A1P0,Marion Bridge,NS,Rural,45.931448,-60.211221
B0A,B0A1R0,New Victoria,NS,Rural,46.269191,-60.135423
B0A,B0A1S0,North Fourchu,NS,Rural,45.672302,-60.474297
B0A,B0A1T0,Port Morien,NS,Rural,46.159243,-59.85799
B0A,B0A1V0,Reserve Mines,NS,Rural,46.18242,-60.014026
B0A,B0A1W0,Sydney Forks,NS,Rural,46.056194,-60.320368
B0C,B0C1A0,Alder Point,NS,Rural,46.281142,-60.28252
B0C,B0C1A1,Cape Smokey,NS,Rural,46.534346,-60.561414
B0C,B0C1B0,Bras D'Or,NS,Rural,46.319568,-60.45193
B0C,B0C1C0,Cape North,NS,Rural,46.907548,-60.395097
B0C,B0C1E0,Capstick,NS,Rural,46.970308,-60.436072
B0C,B0C1G0,Dingwall,NS,Rural,46.896896,-60.471233
B0C,B0C1H0,Englishtown,NS,Rural,46.259496,-60.539781
B0C,B0C1J0,Florence,NS,Rural,46.25353,-60.262612
B0C,B0C1K0,Ingonish,NS,Rural,46.695635,-60.396464
B0C,B0C1L0,Ingonish Beach,NS,Rural,46.613127,-60.507454
B0C,B0C1M0,Keltic Lodge,NS,Rural,46.610777,-60.42396
B0C,B0C1N0,Neils Harbour,NS,Rural,46.762745,-60.343878
B0C,B0C1P0,New Haven,NS,Rural,46.808812,-60.306677
B0C,B0C1R0,St Margaret Village,NS,Rural,46.970309,-60.436072
B0E,B0E1A0,Arichat,NS,Rural,45.514793,-60.966046
B0E,B0E1B0,Baddeck,NS,Rural,46.234036,-61.299174
B0E,B0E1C0,Belle Cote,NS,Rural,46.440054,-61.09231
B0E,B0E1C8,Inverness,NS,Rural,46.1793911,-61.2038641
B0E,B0E1E0,Belle Marche,NS,Rural,46.635873,-60.955613
B0E,B0E1G0,Cap Lemoyne,NS,Rural,46.419873,-61.045641
B0E,B0E1H0,Cheticamp,NS,Rural,46.506849,-61.025641
B0E,B0E1J0,Cleveland,NS,Rural,45.629385,-61.14693
B0E,B0E1K0,D'Escousse,NS,Rural,45.53269,-61.010749
B0E,B0E1L0,Grand Etang,NS,Rural,46.50685,-61.025641
B0E,B0E1M0,Grand River,NS,Rural,45.539328,-60.700551
B0E,B0E1N0,Inverness,NS,Rural,46.207819,-61.185472
B0E,B0E1P0,Judique,NS,Rural,45.982043,-61.529185
B0E,B0E1R0,La Pointe,NS,Rural,46.514733,-61.038599
B0E,B0E1S0,L'Ardoise,NS,Rural,45.612265,-60.767692
B0E,B0E1T0,Little Narrows,NS,Rural,45.974227,-60.983498
B0E,B0E1V0,Louisdale,NS,Rural,45.629386,-61.14693
B0E,B0E1W0,Lower L'Ardoise,NS,Rural,45.580256,-60.736738
B0E,B0E1X0,Mabou,NS,Rural,46.060943,-61.2045
B0E,B0E1Y0,Margaree,NS,Rural,46.440055,-61.09231
B0E,B0E1Z0,Margaree Centre,NS,Rural,46.326145,-61.038534
B0E,B0E2A0,Margaree Forks,NS,Rural,46.314662,-61.176509
B0E,B0E2A1,Inverness,NS,Rural,46.179391,-61.203864
B0E,B0E2B0,Margaree Harbour,NS,Rural,46.034129,-61.521456
B0E,B0E2C0,Margaree Valley,NS,Rural,46.03413,-61.521456
B0E,B0E2E0,Middle River,NS,Rural,46.261633,-60.789044
B0E,B0E2G0,Mulgrave,NS,Rural,45.450336,-61.386797
B0E,B0E2H0,Margaree,NS,Rural,46.444435,-61.092484
B0E,B0E2J0,North River Bridge,NS,Rural,46.261634,-60.789044
B0E,B0E2K0,Orangedale,NS,Rural,45.707891,-61.170629
B0E,B0E2L0,Petit De Grat,NS,Rural,45.446991,-60.939875
B0E,B0E2M0,Petit Etang,NS,Rural,46.642589,-60.992644
B0E,B0E2N0,Plateau,NS,Rural,46.569241,-60.996702
B0E,B0E2P0,Pleasant Bay,NS,Rural,46.68081,-60.81327
B0E,B0E2R0,Point Cross,NS,Rural,46.514734,-61.038599
B0E,B0E2S0,Point Tupper,NS,Rural,45.58011,-61.280143
B0E,B0E2T0,Port Hastings,NS,Rural,45.653129,-61.383773
B0E,B0E2V0,Port Hawkesbury,NS,Rural,45.614351,-61.350731
B0E,B0E2W0,Port Hood,NS,Rural,45.716593,-60.863531
B0E,B0E2W1,Strathlorne,NS,Rural,46.220376,-61.084658
B0E,B0E2X0,River Bourgeois,NS,Rural,45.655705,-61.019888
B0E,B0E2Y0,River Denys,NS,Rural,45.804503,-61.012528
B0E,B0E2Z0,Robins,NS,Rural,45.446992,-60.939875
B0E,B0E3A0,La Pointe,NS,Rural,46.505051,-61.036834
B0E,B0E3B0,St Peters,NS,Rural,45.620463,-60.957559
B0E,B0E3C0,Sampson Cove,NS,Rural,45.446993,-60.939875
B0E,B0E3E0,Scotsville,NS,Rural,46.145952,-61.189362
B0E,B0E3G0,South Haven,NS,Rural,46.472813,-60.558308
B0E,B0E3H0,South West Margaree,NS,Rural,46.174083,-61.12252
B0E,B0E3J0,West Arichat,NS,Rural,45.53199,-61.131547
